CWE ID,commit ID,reason
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,no functions changed
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,no functions changed
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,no functions changed
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,no functions changed
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,no functions changed
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,no functions changed
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,no functions changed
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
190.0,884a108121d027ee4aa7d5a70247565cf0105afa,unknown language
